PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,seqName,host,samplingDate,deer_outbreak_id
-2.0703694408958038,-0.9352643672241896,0.3773349137869386,-1.0752375977404707,0.658779780877571,-0.8378671730501688,-0.4197806825537851,-1.160782996981393,-0.6802474591920586,-0.26334376661441083,-0.06735775061794261,-2.785965902418752e-15,hCoV-19/mink/USA/WI/MP03N-220/2022-08-28,mink,2022-08-28,NA
-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,-0.01689084418078279,0.26042309257418106,-0.21849882354108582,-0.10040241477638201,-5.93275428784068e-16,hCoV-19/mink/USA/WI/MP03N-223/2022-08-28,mink,2022-08-28,NA
-1.9424992682763018,-0.4601837480801442,-0.4005597712816834,-0.8835113024645892,0.15803686410326534,-0.6890675421251882,-0.35553017318770525,-0.20881862198114515,0.902471483879633,-0.2418304076385801,-0.11918994952099396,-1.1761425167122752e-15,hCoV-19/mink/USA/WI/MP03N-225/2022-08-28,mink,2022-08-28,NA
-1.0493967363617513,-0.559449730042541,-0.3331005794517829,-1.1787194960211054,0.37368960274071766,-0.6539618289989254,-0.2769966547871795,0.20689502723385056,0.021202640327816272,-0.3198261019513176,-0.21637441947507155,-1.4814538484841933e-15,hCoV-19/mink/USA/WI/MP03N-228/2022-08-28,mink,2022-08-28,NA
-1.399616431314684,-0.34665340634740704,-0.5879532833928196,-0.8249433445686284,-0.06338016700624668,-0.514943542387615,-0.5962042258598865,-0.09260940105745682,0.050538668284801996,-0.35551013141501153,-0.1380100564078007,-1.2455314557513475e-15,hCoV-19/mink/USA/WI/MP03N-231/2022-08-28,mink,2022-08-28,NA
-1.4470823753740558,0.027186678251693217,-0.7596201510709668,-1.6950159917970176,0.873500490291045,0.04866516304562226,-0.17750241399140215,0.49919070494957274,0.8111617855735065,-0.26435642834928214,-0.07868733364002081,-1.1345091532888318e-15,hCoV-19/mink/USA/WI/MP03N-235/2022-08-28,mink,2022-08-28,NA
-3.1207934362814527,-0.49388572155301513,1.0710831994264565,-2.5822897432088454,2.5316121450312816,-1.0874501455923076,0.452984138788743,-2.7355077286952194,-2.271055891876995,-0.1203243138686318,0.15726274728616083,-6.630113125183357e-15,hCoV-19/mink/USA/WI/MP03N-243/2022-08-28,mink,2022-08-28,NA
-0.8423973118678612,-1.0342800405833552,0.14168296721843543,-1.5218067735439864,1.549038965509567,1.6923422689671086,-0.7816345099101196,0.4900831371163462,0.8459274406783966,-0.08126644801685125,0.15351494562737744,-1.231653667943533e-15,hCoV-19/mink/USA/WI/MP03N-248/2022-08-28,mink,2022-08-28,NA
-1.4365487825619718,0.11532278522013593,-0.9215898181180988,-1.5870771017958887,0.40725379310776483,-0.8512085120357379,-0.06517921994997256,0.5642421489490139,0.3757426936160732,-0.4133452201290687,-0.2672943548372722,-1.1761425167122752e-15,hCoV-19/mink/USA/WI/MP03N-249/2022-08-28,mink,2022-08-28,NA
-2.434611142762493,0.864274257343693,0.48991993334082334,0.35526440452298635,-0.6435336083702146,0.4237331926530832,-0.1043900833953359,0.012121313683699928,-0.02013784505950966,0.2553802100660364,-1.75829179274781,3.469446951953614e-18,hCoV-19/mink/USA/WI/MP04N-002/2022-08-31,mink,2022-08-31,NA
-1.4842830295842688,-0.3258406955594248,-0.56950059161939,-0.15571010824670922,-0.4666134473353509,0.1346426984741037,-1.0546913958278366,-0.9485106961703648,-0.1268574417643104,-0.22330044776271596,0.1250290209721779,-8.153200337090993e-16,hCoV-19/mink/USA/WI/MP04N-008/2022-08-31,mink,2022-08-31,NA
-1.8189710712078258,-0.12138755166725936,-0.8159104379830122,0.16152999364239629,-0.8736723938653133,0.24549653767566332,-1.3461241547205203,-1.206750634340093,-0.09223355373260628,-0.26243182201886,0.19120040402347563,-7.4593109467002705e-16,hCoV-19/mink/USA/WI/MP04N-011/2022-08-31,mink,2022-08-31,NA
-2.273887150076796,-0.30603119421640984,-0.2627190072678279,0.1464216661291458,-0.08608005163411435,0.2665648091341528,0.7083066446850059,0.3659749705909012,-0.22431449748286836,0.11399585513726898,-0.3985829637867213,-5.204170427930421e-17,hCoV-19/mink/USA/WI/MP04N-019/2022-08-31,mink,2022-08-31,NA
-1.8322500426573223,-0.5394926465294236,-0.6933265918215499,1.0739467149807809,-1.2938609899804903,0.3317451457237377,0.05058017211775163,1.1188544912528446,0.4832023793209851,-0.03155652887154226,-0.524667422537855,1.6965595595053173e-15,hCoV-19/mink/USA/WI/MP04N-029/2022-08-31,mink,2022-08-31,NA
0.1096418816818314,-0.4432835862733696,0.032294690403420576,-0.43194415895202093,0.48769440816599147,-0.5903937759472326,1.1018342310143179,-0.8424119896258871,0.6279654060911878,-2.105577554912559,-0.3579369852020913,-8.98586760555986e-16,hCoV-19/mink/USA/WI/MP04N-032/2022-08-31,mink,2022-08-31,NA
-0.9313275761417774,-0.0015184487184011115,-1.2299615533283017,0.3251696988274809,-1.1055871765715783,0.6489008550346589,-1.2162089558412306,-0.2408214958389525,1.0154044376404714,-0.15350277586867522,0.16163674084510518,1.7381929229287607e-15,hCoV-19/mink/USA/WI/MP04N-036/2022-08-31,mink,2022-08-31,NA
-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,-0.00314465578274439,-0.1299470841632699,0.09887675472438034,-0.3269488877956521,-1.9081958235744878e-16,hCoV-19/mink/USA/WI/MP04N-039/2022-08-31,mink,2022-08-31,NA
-2.148165471043596,-0.8340844065825217,-0.16175483601858875,-0.5146383966407702,0.11374799145824932,0.09117140286188519,-0.8866607935768143,-0.4121962430711298,1.1805792678350187,-0.19442400215039285,0.028663063666551577,-1.4675760606763788e-15,hCoV-19/mink/USA/WI/MP04N-042/2022-08-31,mink,2022-08-31,NA
-1.0649698338475884,-0.22764882673173586,-0.6437087310933862,-0.00848716016163227,-0.577456704424955,0.5221672984250239,-1.2471619922690824,-1.1497074006066306,-0.7098782813925728,-0.20888043725899627,0.21884172952296543,3.5041414214731503e-16,hCoV-19/mink/USA/WI/MP04N-043/2022-08-31,mink,2022-08-31,NA
-1.0481623909820317,-0.2921323609599972,-0.5623672898917862,-1.2811736431374858,0.3549764722292981,-0.6035988492789824,-0.25965020417983015,0.2748835935839208,-0.040547185899376725,-0.34865261075011167,-0.2062088809190906,-8.98586760555986e-16,hCoV-19/mink/USA/WI/MP04N-050/2022-08-31,mink,2022-08-31,NA
-1.0493967363617513,-0.559449730042541,-0.3331005794517829,-1.1787194960211054,0.37368960274071766,-0.6539618289989254,-0.2769966547871795,0.20689502723385056,0.021202640327816272,-0.3198261019513176,-0.21637441947507155,-1.4814538484841933e-15,hCoV-19/mink/USA/WI/MP04N-052/2022-08-31,mink,2022-08-31,NA
-1.3530676119841343,-0.5703799542578203,-0.4607514171417824,-0.130125095908125,-0.5704514778243155,-0.11250147261349258,-1.1330440074653068,-0.7118551160180049,-0.35468696698185936,-0.3226981097614596,0.007066844799854446,-5.100087019371813e-16,hCoV-19/mink/USA/WI/MP04N-054/2022-08-31,mink,2022-08-31,NA
-2.6329431666064944,-0.6240005846191787,-0.06367197585505907,0.7115384054771555,-0.4936702834445483,0.30738474151669215,0.3486023983780963,-0.07495212546038879,-0.0709454347450057,0.1353160427354599,-0.33912487123018914,-5.204170427930421e-17,hCoV-19/mink/USA/WI/MP04N-056/2022-08-31,mink,2022-08-31,NA
-2.9214556237446483,-0.4126725874949546,-0.3235072149408749,0.9927831191322818,-0.8926384822771707,0.4102326522044499,0.013044116160514437,-0.359312716318718,-0.03889080815313167,0.08428814906282112,-0.25782828815514697,-6.071532165918825e-16,hCoV-19/mink/USA/WI/MP04N-063/2022-08-31,mink,2022-08-31,NA
-2.4835590933023943,-0.8588487871076071,0.0341025952253709,0.7211799619931963,-0.595170905601403,0.06156917985847137,0.2465901227661889,0.1418782019980002,-0.2957050042804428,0.03128947308494067,-0.4466921176101074,3.122502256758253e-17,hCoV-19/mink/USA/WI/MP04N-071/2022-08-31,mink,2022-08-31,NA
-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,-0.00314465578274439,-0.1299470841632699,0.09887675472438034,-0.3269488877956521,-1.9081958235744878e-16,hCoV-19/mink/USA/WI/MP04N-072/2022-08-31,mink,2022-08-31,NA
-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,-0.00314465578274439,-0.1299470841632699,0.09887675472438034,-0.3269488877956521,-1.9081958235744878e-16,hCoV-19/mink/USA/WI/MP04N-076/2022-08-31,mink,2022-08-31,NA
-1.3641757644041501,-0.6633234852427237,-0.28994704098298885,-0.24395156172749705,-0.07877314261285667,0.8364562211086682,-1.2514939211817235,-0.7804548205992335,0.10448225726416052,-0.1655826566118667,0.20596152169877383,-2.185751579730777e-16,hCoV-19/mink/USA/WI/MP04N-092/2022-08-31,mink,2022-08-31,NA
-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,-0.00314465578274439,-0.1299470841632699,0.09887675472438034,-0.3269488877956521,-1.9081958235744878e-16,hCoV-19/mink/USA/WI/MP04N-098/2022-08-31,mink,2022-08-31,NA
-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,0.06614325355533393,-0.186878500268613,0.06371603822246152,-0.31520013185004636,-8.291978215169138e-16,hCoV-19/mink/USA/WI/MP04N-102/2022-08-31,mink,2022-08-31,NA
-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,0.06614325355533393,-0.186878500268613,0.06371603822246152,-0.31520013185004636,-8.291978215169138e-16,hCoV-19/mink/USA/WI/MP04N-103/2022-08-31,mink,2022-08-31,NA
-2.6062468701975785,0.7139859967064858,0.4856476920260978,0.7202224539043769,-0.5051235074838188,0.07219172914162769,0.14298471397700502,0.6272877238463986,-0.21925598535619126,-0.16337156494463798,0.85949826541824,8.673617379884035e-17,hCoV-19/mink/USA/WI/MP04N-104/2022-08-31,mink,2022-08-31,NA
-2.467925707868633,-0.6853407142578656,-0.02875059004030714,0.47915657305493875,-0.12180341846378374,1.013272794427916,0.1398484166512402,0.14242915327031833,0.09332963669576283,0.14891712859823342,-0.24092668694072913,-6.349087922075114e-16,hCoV-19/mink/USA/WI/MP04N-108/2022-08-31,mink,2022-08-31,NA
