seqName,samplingDate,days_since_tmrca,PC1,PC2,PC3,PC4,PC5,PC6,PC7,displacement_2pc,displacement_npc
hCoV-19/mink/USA/WI/MP03N-182/2022-08-28,2022-08-28,91,-1.8491630236770162,-0.37362451483716586,0.08137276899870931,-1.6939065575970715,1.2005195522605308,-0.6457315571750973,0.03814594522797322,2.80046544828124,3.6166030367208317
hCoV-19/mink/USA/WI/MP03N-189/2022-08-28,2022-08-28,91,-1.173731415600645,-0.04244036905238306,-0.6729982397906897,-1.3280743693136505,0.4759520573488854,-0.36554907405556203,-0.16512363322225837,2.100585506127259,2.763168742337001
hCoV-19/mink/USA/WI/MP03N-194/2022-08-28,2022-08-28,91,-1.0506776608124042,-0.8368545470149922,-0.09518229503291181,-1.0723991546739182,0.3931088891204924,-0.7062252985196211,-0.29499768843631574,2.1464055919382155,2.6198281647857815
hCoV-19/mink/USA/WI/MP03N-195/2022-08-28,2022-08-28,91,-1.0481623909820317,-0.2921323609599972,-0.5623672898917862,-1.2811736431374858,0.3549764722292981,-0.6035988492789824,-0.25965020417983015,1.995905851330897,2.655875656345846
hCoV-19/mink/USA/WI/MP03N-197/2022-08-28,2022-08-28,91,-1.4796057407085108,-0.22720128095527545,-0.8888192119590905,0.518921345978271,-0.8935491551666708,0.2916541407051721,0.40386112831203774,2.41663226057925,2.838245052227155
hCoV-19/mink/USA/WI/MP03N-198/2022-08-28,2022-08-28,91,-1.40721840751173,-0.6101017513627662,-0.3633202584790174,-0.716056903789476,-0.052613759581135816,-0.5627789168964431,-0.6193544504867396,2.4117544254628047,2.740493299468583
hCoV-19/mink/USA/WI/MP03N-199/2022-08-28,2022-08-28,91,-1.5623227074915351,0.3590214292410364,-1.0327002360613815,-1.6368760960445086,0.5227793881487504,-0.6300317015215636,0.027784039978777382,2.514735616954312,3.393482204687981
hCoV-19/mink/USA/WI/MP03N-204/2022-08-28,2022-08-28,91,-1.9515155872982581,0.8693295485969501,0.16618512739740193,-0.7923246829369333,0.11287464967359098,-0.8727199191394657,-0.5247272073353928,3.0067994830883977,3.3073120814009522
hCoV-19/mink/USA/WI/MP03N-207/2022-08-28,2022-08-28,91,-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,2.1263398258749935,2.680832524111763
hCoV-19/mink/USA/WI/MP03N-209/2022-08-28,2022-08-28,91,-0.3623471121068669,-0.8793124402516022,-0.45084011094204396,-0.7024802896741612,0.1808839886572079,0.5341650839622291,-0.6500622712780224,1.5594116406812804,2.0842926369936134
hCoV-19/mink/USA/WI/MP03N-210/2022-08-28,2022-08-28,91,-1.7486753676878717,-0.22740009879166911,-0.023276339676119445,-2.497080504706144,1.9800468155626443,-0.2924275959376575,0.347159520053933,2.6846590723487207,4.28666401335267
hCoV-19/mink/USA/WI/MP03N-211/2022-08-28,2022-08-28,91,-1.6817911885525576,-1.0962237163792177,0.37647374323459665,-0.23924287875469186,0.6123822408844675,0.6083647971304426,0.7298830440207447,2.828712094301027,3.0848726497655337
hCoV-19/mink/USA/WI/MP03N-216/2022-08-28,2022-08-28,91,-1.4151019383827412,-0.8833074424898061,-0.13036749190174035,-0.6031376318703544,-0.04144859632546513,-0.6123859719426356,-0.6433620908405133,2.50213282788781,2.7707721523477358
hCoV-19/mink/USA/WI/MP03N-219/2022-08-28,2022-08-28,91,-2.050925481959757,-0.6660095469255909,0.13947590365410117,-1.1777100975562127,0.6353099173728405,-0.7851195082528813,-0.40019427521144907,3.050657214332534,3.4962202428555615
hCoV-19/mink/USA/WI/MP03N-220/2022-08-28,2022-08-28,91,-2.0703694408958038,-0.9352643672241896,0.3773349137869386,-1.0752375977404707,0.658779780877571,-0.8378671730501688,-0.4197806825537851,3.1389611818436727,3.5629976192037645
hCoV-19/mink/USA/WI/MP03N-223/2022-08-28,2022-08-28,91,-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,2.1263398258749935,2.680832524111763
hCoV-19/mink/USA/WI/MP03N-225/2022-08-28,2022-08-28,91,-1.9424992682763018,-0.4601837480801442,-0.4005597712816834,-0.8835113024645892,0.15803686410326534,-0.6890675421251882,-0.35553017318770525,2.905405963462183,3.2237424601634355
hCoV-19/mink/USA/WI/MP03N-228/2022-08-28,2022-08-28,91,-1.0493967363617513,-0.559449730042541,-0.3331005794517829,-1.1787194960211054,0.37368960274071766,-0.6539618289989254,-0.2769966547871795,2.0531486749713155,2.611023600496207
hCoV-19/mink/USA/WI/MP03N-231/2022-08-28,2022-08-28,91,-1.399616431314684,-0.34665340634740704,-0.5879532833928196,-0.8249433445686284,-0.06338016700624668,-0.514943542387615,-0.5962042258598865,2.3515547012371623,2.7611259352846833
hCoV-19/mink/USA/WI/MP03N-235/2022-08-28,2022-08-28,91,-1.4470823753740558,0.027186678251693217,-0.7596201510709668,-1.6950159917970176,0.873500490291045,0.04866516304562226,-0.17750241399140215,2.3737071297745915,3.2686212586067582
hCoV-19/mink/USA/WI/MP03N-243/2022-08-28,2022-08-28,91,-3.1207934362814527,-0.49388572155301513,1.0710831994264565,-2.5822897432088454,2.5316121450312816,-1.0874501455923076,0.452984138788743,4.077102003584262,5.718392939169266
hCoV-19/mink/USA/WI/MP03N-248/2022-08-28,2022-08-28,91,-0.8423973118678612,-1.0342800405833552,0.14168296721843543,-1.5218067735439864,1.549038965509567,1.6923422689671086,-0.7816345099101196,2.048342319025502,3.62169456840562
